Action,Adventure,Sci-Fi,333.13
Adventure,Mystery,Sci-Fi,126.46
Horror,Thriller,,138.12
Animation,Comedy,Family,270.32
Action,Adventure,Fantasy,325.02
Action,Adventure,Fantasy,45.13
Comedy,Drama,Music,151.06
Comedy,,,
Action,Adventure,Biography,8.01
Adventure,Drama,Romance,100.01
Adventure,Family,Fantasy,234.02
Biography,Drama,History,169.27
Action,Adventure,Sci-Fi,532.17
Animation,Adventure,Comedy,248.75
Action,Comedy,Drama,2.87
Animation,Adventure,Comedy,368.31
Biography,Drama,History,67.12
Action,Thriller,,162.16
Biography,Drama,,51.69
Drama,Mystery,Sci-Fi,100.5
Adventure,Drama,Thriller,7.22
Drama,,,47.7
Crime,Drama,Horror,
Animation,Adventure,Comedy,153.69
Action,Adventure,Sci-Fi,103.14
Comedy,,,
Action,Adventure,Drama,6.5
Horror,Thriller,,0.01
Comedy,,,113.08
Action,Adventure,Drama,54.65
Comedy,,,60.31
Drama,Thriller,,10.64
Action,Adventure,Sci-Fi,155.33
Action,Adventure,Comedy,363.02
Action,Horror,Sci-Fi,26.84
Action,Adventure,Sci-Fi,408.08
Adventure,Drama,Sci-Fi,187.99
Action,Adventure,Fantasy,232.6
Action,Adventure,Western,93.38
Comedy,Drama,,
Animation,Adventure,Comedy,97.66
Drama,,,27.85
Horror,,,
Biography,Drama,History,12.79
Drama,,,4.21
Action,Adventure,Fantasy,241.06
Drama,Thriller,,3.44
Adventure,Drama,Fantasy,
Action,Adventure,Sci-Fi,158.8
Drama,,,
Action,Adventure,Fantasy,936.63
Action,Adventure,Fantasy,30.35
Comedy,Drama,,32.46
Action,Crime,Thriller,43
Action,Crime,Drama,533.32
Adventure,Drama,History,7.08
Crime,Horror,Thriller,89.21
Drama,Romance,,56.23
Comedy,Drama,Romance,3.18
Biography,Drama,,125.07
Action,Adventure,Sci-Fi,330.25
Horror,Mystery,Thriller,
Crime,Drama,Mystery,75.31
Drama,Romance,Thriller,166.15
Drama,Mystery,Sci-Fi,53.08
Action,Adventure,Comedy,128.25
Drama,History,Thriller,31.86
Action,Adventure,Sci-Fi,153.63
Drama,,,0.01
Action,Drama,Thriller,61.28
Drama,History,,
Action,Drama,Romance,40.07
Drama,Fantasy,,3.73
Drama,Romance,,30.98
Animation,Adventure,Comedy,341.26
Action,Adventure,Fantasy,309.4
Action,Sci-Fi,,623.28
Adventure,Drama,War,120.52
Action,Adventure,Fantasy,423.03
Action,Comedy,Fantasy,128.34
Action,Adventure,Sci-Fi,292.57
Comedy,Drama,,5.88
Biography,Comedy,Crime,116.87
Crime,Drama,Mystery,167.74
Action,Crime,Thriller,350.03
Action,Adventure,Sci-Fi,652.18
Crime,Drama,,10.38
Action,Adventure,Fantasy,760.51
Crime,Drama,Mystery,54.12
Action,Crime,Drama,86.2
Crime,Drama,Mystery,60.96
Action,Adventure,Fantasy,47.17
Drama,,,169.71
Comedy,Crime,Drama,43.02
Action,Adventure,Sci-Fi,458.99
Action,Comedy,Crime,36.25
Animation,Drama,Fantasy,4.68
Horror,Mystery,Sci-Fi,0.15
Drama,Mystery,Thriller,1.29
Crime,Drama,Thriller,132.37
Biography,Crime,Drama,1.87
Action,Adventure,Fantasy,181.02
Adventure,Drama,Sci-Fi,228.43
Crime,Mystery,Thriller,
Action,Adventure,Comedy,45.43
Crime,Drama,Thriller,26.86
Comedy,,,1.66
Action,Adventure,Drama,126.59
Drama,,,
Drama,Mystery,Sci-Fi,25.44
Action,Horror,Thriller,10.16
Biography,Drama,History,56.67
Romance,Sci-Fi,,
Action,Fantasy,War,210.59
Adventure,Drama,Fantasy,380.96
Comedy,,,54.73
Horror,Thriller,,1.33
Action,Biography,Drama,11.15
Drama,Horror,Mystery,71.9
Animation,Adventure,Comedy,486.29
Adventure,Drama,Family,87.24
Adventure,Mystery,Sci-Fi,150.83
Adventure,Comedy,Romance,46.01
Action,,,
Action,Thriller,,448.13
Adventure,Drama,Family,364
Action,Adventure,Sci-Fi,245.43
Adventure,Crime,Mystery,38.56
Comedy,Family,Musical,143.7
Adventure,Drama,Thriller,183.64
Drama,,,57.64
Adventure,Comedy,Drama,128
Drama,Horror,Thriller,55.12
Drama,Music,,13.09
Action,Crime,Thriller,238.67
Crime,Drama,Thriller,21.38
Crime,Drama,Thriller,74.27
Drama,Romance,,144.81
Mystery,Thriller,,127.97
Mystery,Thriller,Western,
Action,Adventure,Sci-Fi,257.7
Comedy,Family,,64
Biography,Comedy,Drama,70.24
Drama,,,14.68
Drama,Western,,162.8
Drama,Mystery,Romance,2.01
Comedy,Drama,,14.26
Action,Drama,Mystery,107.5
Comedy,,,121.46
Action,Adventure,Crime,34.26
Adventure,Family,Fantasy,55.47
Adventure,Sci-Fi,Thriller,408
Drama,,,0.2
Action,Crime,Drama,46.88
Drama,Horror,Mystery,
Action,Horror,Sci-Fi,41.8
Action,Adventure,Sci-Fi,101.79
Comedy,Drama,Romance,84.24
Action,Comedy,Fantasy,31.49
Action,Comedy,Mystery,23.62
Thriller,War,,
Action,Comedy,Crime,1.8
Action,Adventure,Sci-Fi,233.91
Action,Adventure,Crime,58.4
Action,Adventure,Thriller,167.01
Drama,Fantasy,Romance,191.45
Action,Adventure,Comedy,65.03
Biography,Drama,History,33.31
Action,Drama,History,52.82
Action,Adventure,Thriller,200.07
Crime,Drama,Thriller,32.28
Animation,Adventure,Family,48.02
Adventure,Horror,,
Drama,Romance,Sci-Fi,25.56
Animation,Adventure,Comedy,400.74
Action,Adventure,Family,93.42
Action,Adventure,Drama,208.54
Action,Comedy,,110.42
Horror,Mystery,Thriller,102.46
Action,Adventure,Comedy,180.19
Comedy,Romance,,24.09
Horror,Mystery,,25.14
Drama,Family,Fantasy,201.15
Sci-Fi,,,
Drama,Thriller,,3.4
Drama,Romance,,
Drama,War,,1.72
Drama,Fantasy,Horror,31.06
Crime,Drama,,35.05
Comedy,Drama,Romance,110.01
Drama,Romance,,12.53
Drama,,,
Crime,Drama,History,44.99
Horror,Sci-Fi,Thriller,3.91
Action,Drama,Sport,13.65
Action,Adventure,Sci-Fi,176.64
Crime,Drama,Thriller,
Adventure,Biography,Drama,18.35
Biography,Drama,Thriller,91.12
Action,Comedy,Crime,127.38
Action,Adventure,Sci-Fi,100.19
Drama,Fantasy,Horror,8.1
Biography,Drama,Thriller,21.48
Action,Adventure,Sci-Fi,318.3
Action,Adventure,Mystery,66
Action,Adventure,Sci-Fi,146.41
Drama,Horror,,0.51
Comedy,Drama,Romance,2.14
Comedy,Romance,,169.08
Drama,Horror,Thriller,
Action,Adventure,Drama,155.18
Drama,,,14.12
Action,Adventure,Sci-Fi,318.76
Action,Drama,Mystery,
Action,Adventure,Fantasy,206.36
Action,Adventure,Fantasy,31.14
Action,Adventure,Sci-Fi,259.75
Action,Adventure,Comedy,33.04
Drama,Horror,,
Action,Comedy,,48.04
Action,Adventure,Sci-Fi,9.24
Animation,Adventure,Comedy,244.05
Horror,Mystery,,14.67
Crime,Drama,Mystery,102.52
Comedy,Crime,,150.37
Drama,,,0.66
Comedy,Drama,Romance,8.7
Action,Adventure,Sci-Fi,52
Action,Adventure,Family,241.41
Horror,Sci-Fi,Thriller,
Drama,Fantasy,War,37.62
Crime,Drama,Thriller,0
Action,Adventure,Drama,50.86
Action,Adventure,Thriller,195
Action,Adventure,Drama,47.95
Drama,Romance,,17.74
Biography,Drama,History,13.96
Drama,Horror,Thriller,2.41
Adventure,Comedy,Drama,59.07
Action,Adventure,Romance,26.62
Action,Drama,War,85.71
Animation,Adventure,Comedy,356.45
Animation,Adventure,Comedy,9.4
Action,Adventure,Sci-Fi,89.73
Adventure,Family,Fantasy,88.76
Drama,Musical,Romance,148.78
Drama,Sci-Fi,Thriller,35.29
Comedy,Drama,,5.66
Action,Comedy,Crime,110.82
Biography,Comedy,Drama,13.18
Comedy,Drama,Romance,0.32
Drama,Thriller,,0.11
Biography,Drama,History,161.03
Action,Adventure,Sci-Fi,202.85
Horror,Mystery,Thriller,137.39
Comedy,,,277.31
Action,Adventure,Sci-Fi,65.17
Action,Drama,Sci-Fi,176.74
Horror,,,67.24
Drama,Thriller,,2.27
Comedy,Drama,Romance,42.34
Drama,Thriller,,106.95
Comedy,Drama,,4.4
Drama,,,0.79
Action,Adventure,Comedy,0.54
Drama,Horror,Thriller,0.03
Comedy,,,35.54
Drama,Sci-Fi,,27.1
Action,Adventure,Sci-Fi,179.88
Horror,,,
Action,Adventure,Thriller,304.36
Adventure,Fantasy,,303
Action,Comedy,Crime,138.45
Comedy,Drama,Music,3.23
Animation,Adventure,Comedy,
Action,Adventure,Mystery,89.02
Action,Comedy,Crime,191.62
Crime,Drama,History,33.05
Comedy,,,3.37
Action,Adventure,Sci-Fi,408.99
Crime,Mystery,Thriller,117.7
Action,Adventure,Crime,209.02
Thriller,,,
Biography,Drama,Romance,12.71
Action,Adventure,,72.66
Action,Fantasy,,36.38
Action,Comedy,,14.9
Action,Adventure,Sci-Fi,47.38
Action,Comedy,Crime,17.36
Thriller,,,
Action,Drama,Horror,2.13
Comedy,Music,Romance,65
Comedy,,,55.29
Drama,,,
Action,Adventure,Fantasy,291.02
Drama,Romance,,18.71
Animation,Adventure,Comedy,64.06
Comedy,Drama,,124.73
Biography,Crime,Drama,15.43
Drama,History,,40.22
Action,Crime,Thriller,101.53
Action,Biography,Drama,125.07
Horror,,,42.04
Comedy,Romance,,48.24
Comedy,Romance,,31.58
Comedy,Crime,Drama,8.09
Adventure,Family,Fantasy,77.04
Crime,Drama,Thriller,
Action,Crime,Thriller,62.49
Comedy,Romance,,46.81
Biography,Drama,Sport,255.95
Drama,Romance,,2.2
Drama,Horror,,0.92
Adventure,Fantasy,,255.11
Adventure,Family,Fantasy,292
Action,Drama,Sci-Fi,4.56
Action,Adventure,Sci-Fi,34.91
Action,Horror,,
Comedy,Horror,Thriller,65.07
Action,Crime,Thriller,209.81
Crime,Drama,Music,65.27
Drama,,,0.01
Action,Crime,Thriller,5.69
Action,Sci-Fi,Thriller,37.55
Biography,Drama,,96.92
Action,Adventure,Fantasy,27.36
Drama,Horror,Sci-Fi,5.77
Biography,Comedy,Drama,0.04
Crime,Horror,Thriller,3.22
Crime,Drama,Mystery,7.1
Animation,Adventure,Comedy,72.66
Action,Biography,Drama,350.12
Biography,Drama,,27.3
Biography,Drama,History,182.2
Action,Biography,Drama,26.9
Drama,Fantasy,Horror,
Comedy,Drama,Romance,132.09
Drama,Sport,,
Drama,Romance,,124.87
Comedy,Romance,,46.28
Action,Crime,Thriller,155.02
Action,Crime,Drama,66.47
Action,Drama,Thriller,73.1
Adventure,Family,Fantasy,76.2
Action,Adventure,,336.53
Action,Adventure,Romance,20.32
Adventure,Family,Fantasy,38.35
Crime,Drama,,150.12
Comedy,Horror,,16.2
Comedy,Fantasy,Romance,56.82
Drama,,,
Drama,,,56.44
Comedy,Drama,,2.02
Comedy,Drama,Romance,11.08
Adventure,Sci-Fi,Thriller,130
Action,Adventure,Fantasy,17.18
Comedy,Drama,,
Biography,Drama,Romance,35.89
Comedy,Fantasy,,101.47
Comedy,Drama,Fantasy,15.29
Comedy,,,100.47
Horror,Thriller,,0.05
Action,Adventure,Sci-Fi,228.76
Adventure,Comedy,Horror,75.59
Comedy,Mystery,,30
Drama,,,141.32
Adventure,Drama,Fantasy,292.3
Drama,Sport,,
Action,Adventure,,262.03
Action,Adventure,Drama,26.38
Action,Drama,Sci-Fi,3.85
Action,Mystery,Sci-Fi,102.41
Action,Crime,Drama,14.27
Action,Crime,Fantasy,134.57
Biography,Comedy,Drama,27.37
Action,Crime,Thriller,2.2
Biography,Crime,Drama,62.56
Drama,Sport,,109.71
Adventure,Comedy,Drama,4.21
Action,Adventure,Thriller,39.29
Comedy,Fantasy,Horror,3.33
Drama,Sport,,52.42
Horror,Thriller,,
Drama,History,Thriller,72.31
Animation,Action,Adventure,257.76
Action,Adventure,Drama,43.25
Action,Comedy,Family,78.75
Action,Adventure,Drama,105.22
Action,Adventure,Sci-Fi,132.55
Action,Adventure,Sci-Fi,73.06
Action,Comedy,,20.57
Action,Crime,Drama,10.64
Biography,Drama,,17.75
Comedy,Romance,,
Comedy,,,133.67
Drama,Fantasy,Romance,42.48
Action,Adventure,Sci-Fi,134.52
Comedy,,,109.18
Comedy,Sci-Fi,,
Comedy,Drama,,113.71
Animation,Action,Adventure,336.03
Horror,,,
Action,Biography,Crime,0.1
Animation,Adventure,Comedy,251.5
Drama,Romance,,26.76
Drama,Mystery,Thriller,0.23
Drama,History,Thriller,95.72
