"","userId","movieId","title","year","genres"
"1",1323,1,"Toy Story",1995,"Adventure|Animation|Children|Comedy|Fantasy"
"2",1323,3,"Grumpier Old Men",1995,"Comedy|Romance"
"3",1323,5,"Father of the Bride Part II",1995,"Comedy"
"4",1323,10,"GoldenEye",1995,"Action|Adventure|Thriller"
"5",1323,11,"American President, The",1995,"Comedy|Drama|Romance"
"6",1323,12,"Dracula: Dead and Loving It",1995,"Comedy|Horror"
"7",1323,15,"Cutthroat Island",1995,"Action|Adventure|Romance"
"8",1323,16,"Casino",1995,"Crime|Drama"
"9",1323,17,"Sense and Sensibility",1995,"Drama|Romance"
"10",1323,19,"Ace Ventura: When Nature Calls",1995,"Comedy"
"11",1323,21,"Get Shorty",1995,"Comedy|Crime|Thriller"
"12",1323,22,"Copycat",1995,"Crime|Drama|Horror|Mystery|Thriller"
"13",1323,23,"Assassins",1995,"Action|Crime|Thriller"
"14",1323,29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,"Adventure|Drama|Fantasy|Mystery|Sci-Fi"
"15",1323,31,"Dangerous Minds",1995,"Drama"
"16",1323,34,"Babe",1995,"Children|Drama"
"17",1323,36,"Dead Man Walking",1995,"Crime|Drama"
"18",1323,39,"Clueless",1995,"Comedy|Romance"
"19",1323,42,"Dead Presidents",1995,"Action|Crime|Drama"
"20",1323,44,"Mortal Kombat",1995,"Action|Adventure|Fantasy"
"21",1323,47,"Seven (a.k.a. Se7en)",1995,"Mystery|Thriller"
"22",1323,58,"Postman, The (Postino, Il)",1994,"Comedy|Drama|Romance"
"23",1323,61,"Eye for an Eye",1996,"Drama|Thriller"
"24",1323,70,"From Dusk Till Dawn",1996,"Action|Comedy|Horror|Thriller"
"25",1323,71,"Fair Game",1995,"Action"
"26",1323,95,"Broken Arrow",1996,"Action|Adventure|Thriller"
"27",1323,100,"City Hall",1996,"Drama|Thriller"
"28",1323,105,"Bridges of Madison County, The",1995,"Drama|Romance"
"29",1323,110,"Braveheart",1995,"Action|Drama|War"
"30",1323,122,"Boomerang",1992,"Comedy|Romance"
"31",1323,141,"Birdcage, The",1996,"Comedy"
"32",1323,145,"Bad Boys",1995,"Action|Comedy|Crime|Drama|Thriller"
"33",1323,147,"Basketball Diaries, The",1995,"Drama"
"34",1323,150,"Apollo 13",1995,"Adventure|Drama|IMAX"
"35",1323,153,"Batman Forever",1995,"Action|Adventure|Comedy|Crime"
"36",1323,158,"Casper",1995,"Adventure|Children"
"37",1323,159,"Clockers",1995,"Crime|Drama|Mystery"
"38",1323,160,"Congo",1995,"Action|Adventure|Mystery|Sci-Fi"
"39",1323,161,"Crimson Tide",1995,"Drama|Thriller|War"
"40",1323,163,"Desperado",1995,"Action|Romance|Western"
"41",1323,165,"Die Hard: With a Vengeance",1995,"Action|Crime|Thriller"
"42",1323,168,"First Knight",1995,"Action|Drama|Romance"
"43",1323,169,"Free Willy 2: The Adventure Home",1995,"Adventure|Children|Drama"
"44",1323,212,"Bushwhacked",1995,"Adventure|Comedy|Crime|Mystery"
"45",1323,222,"Circle of Friends",1995,"Drama|Romance"
"46",1323,224,"Don Juan DeMarco",1995,"Comedy|Drama|Romance"
"47",1323,225,"Disclosure",1994,"Drama|Thriller"
"48",1323,227,"Drop Zone",1994,"Action|Thriller"
"49",1323,231,"Dumb & Dumber (Dumb and Dumber)",1994,"Adventure|Comedy"
"50",1323,234,"Exit to Eden",1994,"Comedy"
"51",1323,236,"French Kiss",1995,"Action|Comedy|Romance"
"52",1323,237,"Forget Paris",1995,"Comedy|Romance"
"53",1323,246,"Hoop Dreams",1994,"Documentary"
"54",1323,247,"Heavenly Creatures",1994,"Crime|Drama"
"55",1323,260,"Star Wars: Episode IV - A New Hope",1977,"Action|Adventure|Sci-Fi"
"56",1323,290,"Once Were Warriors",1994,"Crime|Drama"
"57",1323,293,"Léon: The Professional (a.k.a. The Professional) (Léon)",1994,"Action|Crime|Drama|Thriller"
"58",1323,296,"Pulp Fiction",1994,"Comedy|Crime|Drama|Thriller"
"59",1323,307,"Three Colors: Blue (Trois couleurs: Bleu)",1993,"Drama"
"60",1323,308,"Three Colors: White (Trzy kolory: Bialy)",1994,"Comedy|Drama"
"61",1323,318,"Shawshank Redemption, The",1994,"Crime|Drama"
"62",1323,344,"Ace Ventura: Pet Detective",1994,"Comedy"
"63",1323,347,"Bitter Moon",1992,"Drama|Film-Noir|Romance"
"64",1323,349,"Clear and Present Danger",1994,"Action|Crime|Drama|Thriller"
"65",1323,350,"Client, The",1994,"Drama|Mystery|Thriller"
